Name,Producer,Vintage,Price,DO,Variety,Type,Country,Region,Cost,Supplier,abv,cl
Coume Gineste,Domaine Gauby,2015,198.00,IGP Côtes Catalanes,"Garnacha Blanca, Garnacha Gris",White,Francia,Languedoc Roussillon,66.00,Wine Searcher,13.0,75
Domaine de l'Horizon Blanc,Domaine de l'Horizon ,2015,102.00,IGP Côtes Catalanes,"Macabeu, Grenache Gris, Grenache Blanc",White,Francia,Languedoc Roussillon,34.00,Wine Searcher,13.0,75
Blanc du Casot,Le Casot de Mailloles,2017,111.00,Vin de Francia (Roussillon-Banyuls),"Grenache Blanc, Grenache Gris, Vermentino, Roussanne, Viognier",White,Francia,Languedoc Roussillon-Banyuls,37.00,Wine Searcher,13.0,75
Le Soula Blanc,Le Soula,2017,78.00,IGP Côtes Catalanes,"Sauvignon Blanc, Vermentino, Grenache Blanc, Macabeu, Grenache Gris, Malvoisie du Roussillon, Marsanne, Rousanne",White,Francia,Languedoc-Roussillon,26.00,Wine Searcher,13.0,75
Sorgasme Blanc,La Sorga-Anthony Tortul,2013,62.37,Vin de France,"Vermentino, Viognier",White,Francia,Languedoc-Roussillon,20.79,PREMIUM DRINKS S.L.U.,11.0,75
Lux,Domaine de L'Ecu ,2015,84.09,Vin de France,Chardonnay,White,Francia,Loire,28.03,PIÑERO RODRIGUEZ S.L.,13.0,75
La Lune,Mark Angeli-La Ferme de la Sansonnière,2011,43.95,Vin de France,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,14.65,COALLA LOGISTICA S.L.,13.0,75
La Lune,Mark Angeli-La Ferme de la Sansonnière,2016,69.00,Vin de France,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,23.00,COALLA LOGISTICA S.L.,13.0,75
La Lune Amphores,Mark Angeli-La Ferme de la Sansonnière,2016,69.00,Vin de France,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,23.00,COALLA LOGISTICA S.L.,13.0,75
Clos de la Coulée de Serrant,Nicolas Joly ,2011,196.50,Coulée de Serrant,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,65.50,VINOFILOS TENERIFE S.L.U.,14.5,75
Clos de la Coulée de Serrant,Nicolas Joly ,2000,133.20,Coulée de Serrant,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,44.40,VINOFILOS TENERIFE S.L.U.,14.5,75
Les Vieux Clos,Nicolas Joly ,2009,77.25,Savennières,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,25.75,VINOFILOS TENERIFE S.L.U.,15.0,75
Attention Chenin Méchant,Nicolas Réau-Clos de Treilles,2015,38.10,Vin de France,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,12.70,Petit Celler,12.0,75
Domaine des Baumard Clos du Papillon,Domaine des Baumard ,2013,96.00,Savennières,Chenin Blanc,White,Francia,Loire-Anjou-Saumur,32.00,Wine Searcher,13.0,75
Carpe Diem,Domaine de L'Ecu ,2012,113.85,Vin de France,Melon de Bourgogne,White,Francia,Loire-Pays Nantais,37.95,PIÑERO RODRIGUEZ S.L.,12.0,75
Domaine de l'Ecu Muscadet Sèvre-et-Maine Sur Lie Granite,Domaine de l'Ecu,2014,32.10,Muscadet Sèvre-et-Maine,Melon de Bourgogne,White,Francia,Loire-Pays Nantais,10.70,Gourmet Hunters,12.0,75
Gros Pet',Domaine de l'Ecu ,2011,26.40,Vin de France,Folle Blanche,White,Francia,Loire-Pays Nantais,8.80,Wine Searcher,11.0,75
Clos du Bourg Sec,Huet ,2011,79.50,Vouvray,Chenin Blanc,White,Francia,Loire-Touraine,26.50,ENJOY WINE SL,13.0,75
Marc Brédif Vouvray Classic,Maison Brédif ,2013,51.00,Vouvray,Chenin Blanc,White,Francia,Loire-Touraine,17.00,DISTRIBUIDORA ATLANTICA DE VINOS S.L.,12.5,75
Montlouis-sur-Loire Remus,Jacky Blot Domaine de la Taille aux Loups ,2015,66.00,Montlouis,Chenin Blanc,White,Francia,Loire-Touraine,22.00,Wine Searcher,13.5,75
Buisson Renard,Domaine Didier Dagueneau ,2012,196.80,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,65.60,EL GUSTO POR EL VINO CANARIAS S.L.,13.0,75
Buisson Renard,Domaine Didier Dagueneau ,2011,170.40,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,56.80,,13.0,75
Buisson Renard,Domaine Didier Dagueneau ,2010,191.70,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,63.90,,13.0,75
Buisson Renard,Domaine Didier Dagueneau ,2009,166.20,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,55.40,EL GUSTO POR EL VINO CANARIAS S.L.,13.0,75
Silex,Domaine Didier Dagueneau ,2008,327.00,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,109.00,ENJOY WINE SL,13.0,75
François Crochet Sancerre,François Crochet ,2017,42.75,Sancerre,Savignon Blanc,White,Francia,Loire-Upper Loire,14.25,COALLA LOGISTICA S.L.,13.0,75
Sancerre Skeveldra,Sébastien Riffault ,2012,69.90,Sancerre,Sauvignon Blanc,White,Francia,Loire-Upper Loire,23.30,PREMIUM DRINKS S.L.U.,13.0,75
Domaine Vacheron Sancerre,Vacheron ,2016,65.40,Sancerre,Sauvignon Blanc,White,Francia,Loire-Upper Loire,21.80,PIÑERO RODRIGUEZ S.L.,12.5,75
Sancerre Mélodie de Vieilles Vignes,Vincent Gaudry ,2016,50.40,Sancerre,Sauvignon Blanc,White,Francia,Loire-Upper Loire,16.80,LA PART DELS ANGELS S.L.,14.0,75
Sancerre Pour Vous,Vincent Gaudry ,2016,168.00,Sancerre,Sauvignon Blanc,White,Francia,Loire-Upper Loire,56.00,LA PART DELS ANGELS S.L.,13.0,75
Sancerre A Mi-Chemin,Vincent Gaudry ,2016,228.00,Sancerre,Sauvignon Blanc,White,Francia,Loire-Upper Loire,76.00,LA PART DELS ANGELS S.L.,13.0,75
de Ladoucette,Baron  de Ladoucette,2005,98.19,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,32.73,DISTRIBUIDORA ATLANTICA DE VINOS S.L.,12.5,150
Mélodie de Vieilles Vignes,Domaine Vincent Gaudry,2015,44.70,Sancerre,Sauvignon Blanc,White,Francia,Loire-Upper Loire,14.90,La Part dels Àngels,12.5,75
Baron de L,Baron  de Ladoucette,2016,143.76,Pouilly Fumé,Savignon Blanc,White,Francia,Loire-Upper Loire,47.92,Wine Searcher,12.5,75
Compte Lafon,Baron  de Ladoucette,2016,72.51,Sancerre,Savignon Blanc,White,Francia,Loire-Upper Loire,24.17,Wine Searcher,12.5,75
Chante-Alouette,M. Chapoutier ,2009,107.01,Hermitage,Marsanne,White,Francia,Rhône,35.67,DISTRIBUIDORA ATLANTICA DE VINOS S.L.,14.5,75
Saint-Joseph,Dard & Ribo ,2016,86.55,Saint-Joseph,Roussane,White,Francia,Rhône,28.85,LA PART DELS ANGELS S.L.,12.5,75
Domaine Georges Vernay Viognier Le Pied de Samson,Georges Vernay ,2016,78.00,IGP Collines Rhodaniennes,Viognier,White,Francia,Rhône,26.00,Wine Searcher,12.5,75
Cuvée Marguerite,Domaine Matassa,2015,55.95,Vin de France,"Muscat Blanc à Petits Grains, Muscat d'Alexandrie, Macabeu, Viognier",White,Francia,Roussillon-Montner,18.65,Cuvée 3000,11.0,75
Les Barrieux Roussane Jacquère Altesse,Jean-Yves Péron ,2014,97.50,Vin de France,"Roussane, Jacquère, Altesse",White,Francia,Savoie,32.50,LA PART DELS ANGELS S.L.,11.5,75
Primitif,Domaine Giachino,2015,24.90,Savoie,Jacquère,White,Francia,Savoie,8.30,Vilaviniteca,9.2,75
La Grande Journée Altesse Maceration,Jean-Yves Péron ,2017,150.00,Vin de France,Altesse,White,Francia,Savoie,50.00,Wine Searcher,12.0,75
Irouléguy Hegoxuri Grès,Arretxea ,2011,96.00,Irouléguy,"Gros Manseng, Petit Manseng, Petit Courbu",White,Francia,South West,32.00,ENJOY WINE SL,13.5,75
Château Lafitte Sec,Château Lafitte,2016,29.85,Jurançon,"Petit Manseng, Gros Manseng",White,Francia,Sud-Ouest,9.95,Human Vins,13.5,75
